Nom message,content,discussion,"type (0= interlo, 1 = joueur)",délais,nextElement (Interlo),Emojis_1,NextElement_1,Emojis_2,NextElement_2,Emojis_3,NextElement_3,Emojis_4,NextElement_4
Girl intro,T'en es où ? ,Girl,0,,,1F618,Maman voleur 1, ,Maman voleur 2,1F623,Maman voleur 1,,
Réponse DS0,Toujours sur le DS de math,Girl,1,,,1F606,Réponse DS 1,2639,Réponse DS 2,1F62D,Réponse DS 3,,
Réponse DS 1,XD,Girl,0,,DS 1.1,,,,,,,,
DS 1.1,Encore ?,Girl,0,,DS1 .2,,,,,,,,
DS 1.2,C pas vrai XD,Girl,0,,Réponse DS 5,,,,,,,,
Réponse DS 2,XD,Girl,0,,Réponse DS2.1,,,,,,,,
Réponse DS2.1, Encore ?,Girl,0,,Réponse DS2.2,,,,,,,,
Réponse DS2.2,Tkt,Girl,0,,Réponse DS2.3,,,,,,,,
Réponse DS2.3,Tu vas y arriver,Girl,0,,Réponse DS2.4,,,,,,,,
Réponse DS2.4,Courage,Girl,0,,Réponse DS 5,,,,,,,,
Réponse DS 3,Encore !? ,Girl,0,,Réponse DS3.1,,,,,,,,
Réponse DS3.1,Fuck,Girl,0,,Réponse DS3.2,,,,,,,,
Réponse DS3.2,Sa craint,Girl,0,,Réponse DS 5,,,,,,,,
Réponse DS 4,Et toi ? ; Tu as avancé ? ,Girl,1,,,1F613,Réponse DS 5,1F61C,Réponse DS 6,1F928,Réponse DS 7,,
Réponse DS 5,Non,Girl,0,,Réponse DS 5.1,,,,,,,,
Réponse DS 5.1,J'ai même pas essayé,Girl,0,,Professeur 1,,,,,,,,
Réponse DS 6,Connasse XD ,Girl,0,,Réponse DS 6.1,,,,,,,,
Réponse DS 6.1,Tu sais que je suis nulle en math,Girl,0,,Professeur 1,,,,,,,,
Réponse DS 7,Ah non,Girl,0,,Réponse DS 7.1,,,,,,,,
Réponse DS 7.1,Faut pas compter sur moi pour les maths,Girl,0,,Professeur 1,,,,,,,,
Professeur 1,"De toute façon, c'est même pas la peine",Girl,0,,Professeur 1.1,,,,,,,,
Professeur 1.1, Ce prof me déteste,Girl,0,,Professeur 1.2,,,,,,,,
Professeur 1.2, ,Girl,1,,,1F621,Professeur 2,1F61F,Professeur 2,1F611,Professeur 3,,
Professeur 2,Ben si,Girl,0,,Professeur 2.1,,,,,,,,
Professeur 2.1,Tu te souviens comment il m'a collé la dernière fois,Girl,0,,Professeur 2.2,,,,,,,,
Professeur 2.2,Ce gros con ,Girl,0,,Professeur 2.3,,,,,,,,
